node,NoT,NoR,Node_degree,sent_gas,received_gas,total_gas
16931,0.0,1.0,1.0,0.0,21000.0,21000.0
16932,0.0,1.0,1.0,0.0,21000.0,21000.0
16933,0.0,1.0,1.0,0.0,21000.0,21000.0
16934,1.0,0.0,1.0,54854.0,0.0,54854.0
16935,0.0,3.0,3.0,0.0,175631.0,175631.0
16936,1.0,0.0,1.0,21000.0,0.0,21000.0
16937,0.0,1.0,1.0,0.0,21000.0,21000.0
16938,1.0,0.0,1.0,21952.0,0.0,21952.0
16939,1.0,0.0,1.0,63221.0,0.0,63221.0
16940,0.0,1.0,1.0,0.0,21000.0,21000.0
16941,2.0,0.0,2.0,227377.0,0.0,227377.0
16942,1.0,0.0,1.0,50625.0,0.0,50625.0
16943,1.0,0.0,1.0,127429.0,0.0,127429.0
16944,0.0,1.0,1.0,0.0,21000.0,21000.0
16945,1.0,0.0,1.0,21000.0,0.0,21000.0
16946,0.0,1.0,1.0,0.0,28592.0,28592.0
16947,1.0,0.0,1.0,145137.0,0.0,145137.0
16948,1.0,0.0,1.0,152956.0,0.0,152956.0
16949,1.0,0.0,1.0,188370.0,0.0,188370.0
16950,0.0,1.0,1.0,0.0,21000.0,21000.0
16951,4.0,0.0,4.0,609251.0,0.0,609251.0
16952,0.0,1.0,1.0,0.0,21000.0,21000.0
16953,1.0,0.0,1.0,102896.0,0.0,102896.0
16954,1.0,1.0,2.0,46506.0,21000.0,67506.0
16955,1.0,0.0,1.0,46551.0,0.0,46551.0
16956,1.0,0.0,1.0,19581.0,0.0,19581.0
16957,0.0,1.0,1.0,0.0,21000.0,21000.0
16958,0.0,1.0,1.0,0.0,21000.0,21000.0
16959,1.0,0.0,1.0,21000.0,0.0,21000.0
16960,0.0,2.0,2.0,0.0,42000.0,42000.0
16961,1.0,0.0,1.0,21000.0,0.0,21000.0
16962,1.0,0.0,1.0,21000.0,0.0,21000.0
16963,1.0,0.0,1.0,31097.0,0.0,31097.0
16964,1.0,0.0,1.0,48777.0,0.0,48777.0
16965,1.0,0.0,1.0,48197.0,0.0,48197.0
16966,1.0,0.0,1.0,294382.0,0.0,294382.0
16967,1.0,0.0,1.0,21000.0,0.0,21000.0
16968,0.0,1.0,1.0,0.0,21000.0,21000.0
16969,1.0,0.0,1.0,204097.0,0.0,204097.0
16970,1.0,0.0,1.0,46603.0,0.0,46603.0
16971,1.0,0.0,1.0,41662.0,0.0,41662.0
16972,0.0,1.0,1.0,0.0,41662.0,41662.0
16973,1.0,0.0,1.0,40523.0,0.0,40523.0
16974,0.0,1.0,1.0,0.0,40523.0,40523.0
16975,1.0,0.0,1.0,339709.0,0.0,339709.0
16976,1.0,0.0,1.0,48209.0,0.0,48209.0
16977,1.0,0.0,1.0,156632.0,0.0,156632.0
16978,0.0,1.0,1.0,0.0,21000.0,21000.0
16979,1.0,0.0,1.0,83167.0,0.0,83167.0
16980,1.0,0.0,1.0,21000.0,0.0,21000.0
16981,1.0,0.0,1.0,21940.0,0.0,21940.0
16982,1.0,0.0,1.0,21000.0,0.0,21000.0
16983,1.0,0.0,1.0,31097.0,0.0,31097.0
16984,1.0,0.0,1.0,21000.0,0.0,21000.0
16985,0.0,1.0,1.0,0.0,21000.0,21000.0
16986,1.0,0.0,1.0,82092.0,0.0,82092.0
16987,0.0,1.0,1.0,0.0,21000.0,21000.0
16988,1.0,0.0,1.0,109085.0,0.0,109085.0
16989,0.0,1.0,1.0,0.0,41124.0,41124.0
16990,1.0,0.0,1.0,21000.0,0.0,21000.0
16991,0.0,1.0,1.0,0.0,21000.0,21000.0
16992,0.0,1.0,1.0,0.0,21000.0,21000.0
16993,1.0,0.0,1.0,166211.0,0.0,166211.0
16994,1.0,0.0,1.0,33525.0,0.0,33525.0
16995,1.0,0.0,1.0,170739.0,0.0,170739.0
16996,1.0,0.0,1.0,31097.0,0.0,31097.0
16997,2.0,0.0,2.0,42000.0,0.0,42000.0
16998,0.0,1.0,1.0,0.0,21000.0,21000.0
16999,1.0,0.0,1.0,21000.0,0.0,21000.0
17000,0.0,1.0,1.0,0.0,21000.0,21000.0
17001,0.0,1.0,1.0,0.0,21000.0,21000.0
17002,1.0,0.0,1.0,31109.0,0.0,31109.0
17003,0.0,1.0,1.0,0.0,21000.0,21000.0
17004,0.0,1.0,1.0,0.0,21000.0,21000.0
17005,0.0,1.0,1.0,0.0,21000.0,21000.0
17006,0.0,1.0,1.0,0.0,21000.0,21000.0
17007,1.0,0.0,1.0,21000.0,0.0,21000.0
17008,1.0,0.0,1.0,143910.0,0.0,143910.0
17009,1.0,0.0,1.0,159384.0,0.0,159384.0
17010,1.0,0.0,1.0,21000.0,0.0,21000.0
17011,0.0,1.0,1.0,0.0,21000.0,21000.0
17012,1.0,0.0,1.0,21000.0,0.0,21000.0
17013,1.0,0.0,1.0,21000.0,0.0,21000.0
17014,1.0,1.0,2.0,21000.0,21000.0,42000.0
17015,1.0,0.0,1.0,1277882.0,0.0,1277882.0
17016,1.0,0.0,1.0,123367.0,0.0,123367.0
17017,0.0,1.0,1.0,0.0,46458.0,46458.0
17018,1.0,0.0,1.0,21000.0,0.0,21000.0
17019,0.0,1.0,1.0,0.0,21000.0,21000.0
17020,0.0,1.0,1.0,0.0,21000.0,21000.0
17021,1.0,0.0,1.0,31097.0,0.0,31097.0
17022,2.0,0.0,2.0,42000.0,0.0,42000.0
17023,0.0,1.0,1.0,0.0,21000.0,21000.0
17024,2.0,0.0,2.0,286602.0,0.0,286602.0
17025,1.0,0.0,1.0,21000.0,0.0,21000.0
17026,1.0,0.0,1.0,21000.0,0.0,21000.0
17027,1.0,0.0,1.0,186165.0,0.0,186165.0
17028,0.0,1.0,1.0,0.0,21000.0,21000.0
17029,0.0,1.0,1.0,0.0,21000.0,21000.0
17030,1.0,0.0,1.0,21000.0,0.0,21000.0
17031,0.0,1.0,1.0,0.0,21000.0,21000.0
